Store Number,Bourbon/Whisky,Brandy,Cocktails/RTD,Cordials & Liqueurs,Delisted & Special Order,Gin,Grain Alcohol,Rum,Temp and Specialty Packages,Tequila,Unknown,Vodka
5527,"80,230","15,904","8,826","47,321",573,"9,714","3,333","71,958","9,851","23,813",252,"272,725"
5528,"32,205","33,163","1,691","21,746",,"2,677",457,"10,433","1,384","11,976",90,"36,007"
5529,"6,063","5,665",,"3,234",,190,,"2,420",,398,,"8,825"
5530,"11,613",717,,"5,613",,766,,"4,652",,"2,493",,"7,316"
5531,"7,516",566,,"3,902",,107,,"3,654",,861,,"6,390"
5532,"13,989",507,630,"5,307",167,181,109,"2,325",374,"1,023",,"10,401"
5533,"176,357","1,999","24,615","32,390","1,251","6,271",529,"84,305","14,715","9,418",765,"172,871"
5534,"11,126",643,317,"6,820",,385,,"4,464",65,"2,751",,"7,542"
5535,"6,071",327,,"3,706",,193,,"2,375",,550,,"4,449"
5536,"22,642",641,"1,156","10,810","1,165","1,287",,"6,801",725,"3,067",31,"17,060"
5537,"33,855","1,099","1,622","15,714",,"1,161",331,"18,381",,"1,339",,"13,893"
5538,"16,190",278,424,"9,271",,231,203,"5,692",,"2,388",,"7,852"
5539,"11,607",407,57,"8,279",,468,,"3,342",,710,,"10,884"
5540,"4,446",47,,473,,420,,"2,089",,115,,484
5541,"14,289","1,059",223,"5,816",,404,,"6,251",,"1,663",,"8,473"
5542,"9,769","2,155",116,"3,812",,258,,"4,194",,"2,291",,"7,907"
5543,"8,138",236,,"1,438",,342,,"3,117",,413,,"2,948"
5544,"11,449",,368,"5,547",,42,,"2,076",,"1,246",,"2,542"
5545,"11,616",350,217,"6,084",,468,,"4,821",,"1,176",,"9,152"
5546,"8,046",915,480,"4,714",,415,81,"3,117",,605,,"6,437"
5547,"9,338",200,283,"4,424",,121,,"2,598",,654,,"6,516"
5548,"12,349",216,,"5,925",,487,,"3,689",,"1,735",,"9,849"
5549,"12,728",284,59,"6,361",,211,207,"5,119",,617,,"9,637"
5550,"4,638",371,,"3,654",,160,,"4,473",,388,,"7,233"
5551,"14,582","1,111",29,"5,000",,238,,"3,369",,"1,055",,"8,527"
